date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2020-07-20,SELL,PSUBNKBEES.NS,26384,15.87,418714.07999999996,209.35703999999998,845143.0816849995,16.02,-0.936
2020-07-20,BUY,NV20BEES.NS,7362,57.37,422357.94,211.17897,422573.9627149995,,
2020-07-20,BUY,NIFTYBEES.NS,3608,117.06,422352.48,211.17624,10.306474999524653,,
2020-07-27,SELL,NV20BEES.NS,7362,58.3,429204.6,214.60229999999999,429000.3041749995,57.37,1.621
2020-07-27,BUY,BANKBEES.NS,1947,220.12,428573.64,214.28682,212.3773549994803,,
2020-08-03,SELL,NIFTYBEES.NS,3608,116.17,419141.36,209.57068,419144.16667499946,117.06,-0.76
2020-08-03,SELL,BANKBEES.NS,1947,212.62,413971.14,206.98557000000002,832908.3211049994,220.12,-3.407
2020-08-03,BUY,GOLDBEES.NS,8801,47.29,416199.29,208.09964499999998,416500.9314599994,,
2020-08-03,BUY,NV20BEES.NS,7085,58.75,416243.75,208.12187500000002,49.059584999398794,,
2020-08-10,SELL,NV20BEES.NS,7085,58.93,417519.05,208.759525,417359.3500599994,58.75,0.306
2020-08-10,BUY,MID150BEES.NS,6651,62.72,417150.72,208.57536,0.054699999396689236,,
2020-08-17,SELL,GOLDBEES.NS,8801,46.15,406166.14999999997,203.08307499999998,405963.1216249994,47.29,-2.411
2020-08-17,BUY,MOM100.NS,23577,17.21,405760.17000000004,202.88008500000004,0.07153999933507293,,
2020-08-31,SELL,MOM100.NS,23577,17.56,414012.12,207.00606,413805.18547999935,17.21,2.034
2020-08-31,BUY,BANKBEES.NS,1726,239.57,413497.82,206.74891,100.61656999931438,,
2020-09-07,SELL,BANKBEES.NS,1726,231.37,399344.62,199.67231,399245.5642599993,239.57,-3.423
2020-09-07,BUY,MOM100.NS,22854,17.46,399030.84,199.51542,15.208839999279007,,
2020-10-12,SELL,MOM100.NS,22854,17.55,401087.7,200.54385000000002,400902.3649899993,17.46,0.515
2020-10-12,SELL,MID150BEES.NS,6651,65.09,432913.59,216.45679500000003,833599.4981949993,62.72,3.779
2020-10-12,BUY,BANKBEES.NS,1748,238.27,416495.96,208.24798,416895.2902149993,,
2020-10-12,BUY,NIFTYBEES.NS,3281,126.96,416555.75999999995,208.27787999999998,131.252334999328,,
2020-10-19,SELL,NIFTYBEES.NS,3281,126.81,416063.61,208.031805,415986.83052999934,126.96,-0.118
2020-10-19,BUY,NV20BEES.NS,6662,62.41,415775.42,207.88771,3.5228199993725866,,
2020-11-09,SELL,NV20BEES.NS,6662,64.45,429365.9,214.68295,429154.7398699994,62.41,3.269
2020-11-09,BUY,NIFTYBEES.NS,3231,132.73,428850.62999999995,214.42531499999998,89.6845549994614,,
2020-11-17,SELL,NIFTYBEES.NS,3231,137.39,443907.08999999997,221.953545,443774.82100999943,132.73,3.511
2020-11-17,BUY,NIF100BEES.NS,3383,131.08,443443.64,221.72182,109.45918999944115,,
2020-11-23,SELL,NIF100BEES.NS,3383,128.05,433193.15,216.59657500000003,433086.0126149995,131.08,-2.312
2020-11-23,BUY,MID150BEES.NS,5885,73.55,432841.75,216.420875,27.841739999479614,,
2020-12-01,SELL,MID150BEES.NS,5885,76.03,447436.55,223.718275,447240.6734649995,73.55,3.372
2020-12-01,BUY,PSUBNKBEES.NS,25341,17.64,447015.24,223.50762,1.9258449994958937,,
2020-12-14,SELL,BANKBEES.NS,1748,309.22,540516.56,270.25828,540248.2275649996,238.27,29.777
2020-12-14,BUY,CPSEETF.NS,25591,21.1,539970.1000000001,269.98505000000006,8.142514999490231,,
2021-01-04,SELL,CPSEETF.NS,25591,20.82,532804.62,266.40231,532546.3602049995,21.1,-1.327
2021-01-04,BUY,MID150BEES.NS,6536,81.43,532226.4800000001,266.1132400000001,53.766964999376796,,
2021-01-11,SELL,MID150BEES.NS,6536,84.12,549808.3200000001,274.90416000000005,549587.1828049994,81.43,3.303
2021-01-11,BUY,MOM100.NS,23677,23.2,549306.4,274.6532,6.1296049994416535,,
2021-01-18,SELL,MOM100.NS,23677,22.42,530838.3400000001,265.41917000000007,530579.0504349995,23.2,-3.362
2021-01-18,BUY,INFRABEES.NS,1314,403.37,530028.18,265.01409,285.85634499951266,,
2021-01-25,SELL,INFRABEES.NS,1314,394.16,517926.24000000005,258.96312,517953.1332249996,403.37,-2.283
2021-01-25,BUY,NV20BEES.NS,6672,77.59,517680.48000000004,258.84024000000005,13.812984999560285,,
2021-02-01,SELL,NV20BEES.NS,6672,76.5,510408.0,255.204,510166.60898499953,77.59,-1.405
2021-02-01,BUY,MOM100.NS,22453,22.71,509907.63,254.95381500000002,4.0251699995133094,,
2021-02-08,SELL,MOM100.NS,22453,23.66,531237.98,265.61899,530976.3861799994,22.71,4.183
2021-02-08,BUY,BANKBEES.NS,1468,361.28,530359.0399999999,265.17951999999997,352.1666599995224,,
2021-03-01,SELL,BANKBEES.NS,1468,354.96,521081.27999999997,260.54064,521172.9060199995,361.28,-1.749
2021-03-01,BUY,CPSEETF.NS,21569,24.15,520891.35,260.445675,21.110344999469817,,
2021-03-15,SELL,CPSEETF.NS,21569,23.94,516361.86000000004,258.18093000000005,516124.78941499954,24.15,-0.87
2021-03-15,BUY,MOM100.NS,20659,24.97,515855.23,257.927615,11.631799999566283,,
2021-03-22,SELL,MOM100.NS,20659,24.52,506558.68,253.27934,506317.03245999955,24.97,-1.802
2021-03-22,SELL,PSUBNKBEES.NS,25341,23.64,599061.24,299.53062,1105078.7418399996,17.64,34.014
2021-03-22,BUY,CPSEETF.NS,23671,23.33,552244.4299999999,276.122215,552558.1896249996,,
2021-03-22,BUY,DIVOPPBEES.NS,15060,36.67,552250.2000000001,276.12510000000003,31.86452499963343,,
2021-03-30,SELL,CPSEETF.NS,23671,22.83,540408.9299999999,270.20446499999997,540170.5900599996,23.33,-2.143
2021-03-30,BUY,MOM100.NS,21787,24.78,539881.86,269.94093,18.789129999582656,,
2021-04-05,SELL,MOM100.NS,21787,25.35,552300.4500000001,276.15022500000003,552043.0889049997,24.78,2.3
2021-04-05,BUY,MID150BEES.NS,6072,90.87,551762.64,275.88132,4.567584999604151,,
2021-04-12,SELL,MID150BEES.NS,6072,93.25,566214.0,283.107,565935.4605849996,90.87,2.619
2021-04-12,SELL,DIVOPPBEES.NS,15060,36.9,555714.0,277.857,1121371.6035849997,36.67,0.627
2021-04-12,BUY,MON100.NS,5488,102.1,560324.7999999999,280.1624,560766.6411849997,,
2021-04-12,BUY,ITBEES.NS,20856,26.87,560400.72,280.20036,85.72082499973476,,
2021-04-19,SELL,ITBEES.NS,20856,26.48,552266.88,276.13344,552076.4673849997,26.87,-1.451
2021-04-19,BUY,HNGSNGBEES.NS,1515,364.07,551566.05,275.783025,234.63435999967624,,
2021-05-03,SELL,HNGSNGBEES.NS,1515,373.41,565716.15,282.85807500000004,565667.9262849997,364.07,2.565
2021-05-03,BUY,MOM100.NS,22137,25.54,565378.98,282.68949,6.256794999702834,,
2021-05-10,SELL,MON100.NS,5488,99.33,545123.04,272.56152000000003,544856.7352749998,102.1,-2.713
2021-05-10,BUY,CPSEETF.NS,22030,24.72,544581.6,272.2908,2.844474999816157,,
2021-05-17,SELL,MOM100.NS,22137,25.93,574012.41,287.006205,573728.2482699999,25.54,1.527
2021-05-17,BUY,GOLDBEES.NS,13708,41.83,573405.64,286.70282000000003,35.90544999984559,,
2021-05-24,SELL,GOLDBEES.NS,13708,42.2,578477.6000000001,289.2388,578224.2666499999,41.83,0.885
2021-05-24,BUY,PSUBNKBEES.NS,22134,26.11,577918.74,288.95937,16.567279999842867,,
2021-05-31,SELL,CPSEETF.NS,22030,24.85,547445.5,273.72275,547188.3445299999,24.72,0.526
2021-05-31,BUY,MOM100.NS,20151,27.14,546898.14,273.44907,16.75545999989845,,
2021-06-07,SELL,MOM100.NS,20151,28.36,571482.36,285.74118,571213.3742799999,27.14,4.495
2021-06-07,BUY,CPSEETF.NS,21724,26.28,570906.72,285.45336,21.200919999857433,,
2021-06-21,SELL,CPSEETF.NS,21724,25.98,564389.52,282.19476000000003,564128.5261599999,26.28,-1.142
2021-06-21,BUY,ITBEES.NS,19598,28.77,563834.46,281.91722999999996,12.148929999908432,,
