date,action,ticker,units,price,gross,cost,cash_after,entry_price,pct_from_entry
2021-02-01,BUY,NIF100BEES.NS,3047,147.24,448640.28,224.32014,128.6651300000376,,
2021-02-08,SELL,NIF100BEES.NS,3047,155.67,474326.49,237.163245,474217.991885,147.24,5.725
2021-02-08,SELL,DIVOPPBEES.NS,12988,35.76,464450.87999999995,232.22544,938436.646445,34.55,3.502
2021-02-08,BUY,PSUBNKBEES.NS,18994,24.69,468961.86000000004,234.48093000000003,469240.3055149999,,
2021-02-08,BUY,BANKBEES.NS,1298,361.28,468941.43999999994,234.47071999999997,64.39479499997105,,
2021-03-01,SELL,BANKBEES.NS,1298,354.96,460738.07999999996,230.36903999999998,460572.1057549999,361.28,-1.749
2021-03-01,BUY,CPSEETF.NS,19061,24.15,460323.14999999997,230.161575,18.794179999968037,,
2021-03-08,SELL,CPSEETF.NS,19061,24.43,465660.23,232.830115,465446.19406499993,24.15,1.159
2021-03-08,BUY,MOM100.NS,18172,25.6,465203.2,232.60160000000002,10.392464999924414,,
2021-03-15,SELL,MOM100.NS,18172,24.97,453754.83999999997,226.87742,453538.3550449999,25.6,-2.461
2021-03-15,BUY,CPSEETF.NS,18935,23.94,453303.9,226.65195000000003,7.8030949998646975,,
2021-03-30,SELL,CPSEETF.NS,18935,22.83,432286.05,216.143025,432077.71006999986,23.94,-4.637
2021-03-30,SELL,PSUBNKBEES.NS,18994,23.46,445599.24,222.79962,877454.1504499998,24.69,-4.982
2021-03-30,BUY,DIVOPPBEES.NS,11775,37.24,438501.0,219.25050000000002,438733.8999499998,,
2021-03-30,BUY,MOM100.NS,17696,24.78,438506.88,219.25344,7.766509999812115,,
2021-04-05,SELL,DIVOPPBEES.NS,11775,36.79,433202.25,216.601125,432993.4153849998,37.24,-1.208
2021-04-05,BUY,MID150BEES.NS,4762,90.87,432722.94,216.36147,54.113914999819826,,
2021-04-12,SELL,MID150BEES.NS,4762,93.25,444056.5,222.02825,443888.58566499985,90.87,2.619
2021-04-12,BUY,ITBEES.NS,16511,26.87,443650.57,221.825285,16.19037999981083,,
2021-04-19,SELL,MOM100.NS,17696,24.51,433728.96,216.86448000000001,433528.28589999984,24.78,-1.09
2021-04-19,SELL,ITBEES.NS,16511,26.48,437211.28,218.60564000000002,870520.9602599998,26.87,-1.451
2021-04-19,BUY,MON100.NS,4193,103.73,434939.89,217.46994500000002,435363.6003149998,,
2021-04-19,BUY,NV20BEES.NS,5419,80.28,435037.32,217.51866,108.76165499980561,,
2021-04-26,SELL,NV20BEES.NS,5419,79.43,430431.17000000004,215.21558500000003,430324.71606999985,80.28,-1.059
2021-04-26,BUY,HNGSNGBEES.NS,1169,367.67,429806.23000000004,214.903115,303.58295499981614,,
2021-05-03,SELL,HNGSNGBEES.NS,1169,373.41,436516.29000000004,218.258145,436601.6148099998,367.67,1.561
2021-05-03,BUY,GOLDBEES.NS,10724,40.69,436359.56,218.17978,23.87502999982098,,
