date,equity,cash
2023-10-17,1478817.0734149222,56.25439941918012
2023-10-18,1467769.7494822745,56.25439941918012
2023-10-19,1467866.4843455558,56.25439941918012
2023-10-20,1453537.5105944877,56.25439941918012
2023-10-23,1417509.6918781465,20.07245523389429
2023-10-25,1411837.5882900422,20.07245523389429
2023-10-26,1404679.0430362886,20.07245523389429
2023-10-27,1419419.1082218355,20.07245523389429
2023-10-30,1419547.1821773713,20.07245523389429
2023-10-31,1418060.8713787263,20.07245523389429
2023-11-01,1408935.0456493562,20.07245523389429
2023-11-02,1416177.855833835,20.07245523389429
2023-11-03,1424195.0056026643,20.07245523389429
2023-11-06,1434010.57770107,55.55196330772014
2023-11-07,1431913.1181177876,55.55196330772014
2023-11-08,1436467.3251147054,55.55196330772014
2023-11-09,1433400.8580851338,55.55196330772014
2023-11-10,1441396.0438914082,55.55196330772014
2023-11-13,1463235.7243492217,54.80097886029398
2023-11-15,1479277.0542900176,54.80097886029398
2023-11-16,1486606.376235208,54.80097886029398
2023-11-17,1491554.7611076445,54.80097886029398
2023-11-20,1491197.3856009305,92.4048422636115
2023-11-21,1504319.269115335,92.4048422636115
2023-11-22,1504696.7268942655,92.4048422636115
2023-11-23,1509255.2174795927,92.4048422636115
2023-11-24,1513022.614375955,92.4048422636115
2023-11-28,1511085.1114157499,92.4048422636115
2023-11-29,1516259.5027121366,92.4048422636115
2023-11-30,1520360.908351785,92.4048422636115
2023-12-01,1525259.9197348417,92.4048422636115
2023-12-04,1539230.6586608137,14.21850578446174
2023-12-05,1544227.4085234846,14.21850578446174
2023-12-06,1549112.4685134138,14.21850578446174
2023-12-07,1553847.0317839826,14.21850578446174
2023-12-08,1556233.4234847273,14.21850578446174
2023-12-11,1568220.2842683769,440.56448077916866
2023-12-12,1556372.5941743827,440.56448077916866
2023-12-13,1571139.1454133964,440.56448077916866
2023-12-14,1583869.5572938896,440.56448077916866
2023-12-15,1601678.7441987968,440.56448077916866
2023-12-18,1609192.9024623465,62.945370061381254
2023-12-19,1611150.1284068655,62.945370061381254
